y,U_0,U_1,U_2
0,0,0,0
1.15903e-05,2.66334,-0.00027757,1.05657e-22
2.51959e-05,5.5792,-0.0010626,1.04169e-21
4.11938e-05,8.80015,-0.00275282,-3.73079e-21
6.0036e-05,12.1871,-0.00586462,-1.12725e-21
8.22644e-05,15.5171,-0.010992,-5.469e-21
0.00010853,18.5777,-0.0187838,-1.31162e-20
0.000139617,21.2503,-0.0300656,1.58283e-20
0.000176466,23.497,-0.0460978,1.23214e-20
0.000220213,25.2899,-0.0689115,-2.42953e-20
0.000272229,26.5587,-0.101753,-4.90458e-22
0.000334164,27.2255,-0.148969,1.62085e-20
0.000408017,27.4041,-0.212172,-7.74278e-20
0.000496201,27.445,-0.287969,1.25877e-19
0.000601635,27.596,-0.37406,1.28067e-19
0.000727854,27.8595,-0.471564,-1.09334e-19
0.000879141,28.1687,-0.583155,-3.40941e-20
0.00106069,28.49,-0.712299,-8.9676e-20
0.00127878,28.8349,-0.861122,1.31778e-19
0.00154107,29.2298,-1.03134,-1.42291e-19
0.00185682,29.6966,-1.22473,-2.63835e-19
0.0022373,30.2563,-1.4427,-1.41814e-19
0.00269619,30.9321,-1.68588,2.19244e-19
0.00325013,31.7477,-1.954,2.48121e-19
0.00391934,32.625,-2.21936,-3.18555e-20
0.00447964,33.391,-2.44253,5.19421e-20
0.00498729,34.0159,-2.6225,-4.03917e-19
0.00545308,34.5601,-2.77417,3.0334e-19
0.0058867,35.0424,-2.90513,2.78613e-19
0.00629695,35.4799,-3.02089,5.50933e-22
0.00669189,35.8846,-3.12563,-1.22168e-21
0.00707907,36.2666,-3.22265,-1.09745e-20
0.00746565,36.6333,-3.3144,-4.03983e-19
0.00785851,36.9898,-3.40301,-6.94041e-19
0.00826444,37.3268,-3.48706,1.4394e-19
0.00863691,37.6265,-3.56322,9.68471e-19
0.00899519,37.8891,-3.63203,5.44269e-19
0.0093413,38.1234,-3.69532,-5.55899e-19
0.00967694,38.3326,-3.7539,-4.11111e-19
0.0100036,38.5198,-3.80835,1.34223e-19
0.0103226,38.6877,-3.85923,1.35755e-19
0.0106349,38.8386,-3.90692,-1.33953e-19
0.0109416,38.9748,-3.95177,-9.68812e-20
0.0112433,39.0982,-3.99406,-6.10388e-22
0.0115409,39.2108,-4.03402,1.27521e-19
0.0118349,39.3142,-4.07185,-1.50846e-20
0.0121258,39.41,-4.10765,-3.88164e-20
0.012414,39.4994,-4.14179,1.51015e-20
0.0127,39.5817,-4.1732,1.51735e-20
0.0129587,39.6569,-4.20224,-1.38085e-20
0.0132347,39.7319,-4.23101,-8.10206e-21
0.0135296,39.8122,-4.26015,6.21494e-20
0.0138449,39.8976,-4.28968,-6.4903e-20
0.0141825,39.9887,-4.31945,1.1643e-19
0.0145445,40.0855,-4.34929,1.50968e-19
0.0149331,40.1885,-4.37899,-4.56099e-20
0.0153511,40.2978,-4.40836,-6.45184e-20
0.0158015,40.4137,-4.4371,1.95537e-20
0.0162878,40.5368,-4.46492,8.27268e-21
0.016814,40.6675,-4.49146,-6.03447e-20
0.0173849,40.8063,-4.51613,-1.71475e-19
0.018006,40.9585,-4.53943,-1.43817e-19
0.0187638,41.1298,-4.56042,7.84877e-20
0.0196001,41.3168,-4.57706,5.83904e-20
0.0205255,41.516,-4.58765,2.42103e-19
0.0215519,41.728,-4.59038,9.67571e-20
0.0226935,41.9533,-4.58336,-1.93483e-19
0.023967,42.1921,-4.56423,-7.48079e-20
0.0253917,42.4444,-4.53042,2.99385e-20
0.0269906,42.7099,-4.47894,-3.60948e-20
0.0287908,42.9877,-4.40658,3.76103e-20
0.0308242,43.2765,-4.30984,2.66215e-20
0.033129,43.5737,-4.18523,-3.85867e-20
0.0357502,43.8759,-4.02952,1.48237e-20
0.0387416,44.1791,-3.84005,-4.81287e-21
0.042167,44.4778,-3.61475,-4.18724e-21
0.0461029,44.7655,-3.35304,5.76265e-21
0.0506405,45.0346,-3.05518,-1.42812e-21
0.0558892,45.2717,-2.73411,-6.49789e-22
0.061146,45.4652,-2.41832,4.4603e-22
0.0665609,45.6221,-2.11372,-8.55857e-22
0.0721458,45.749,-1.81855,1.02224e-21
0.0779136,45.8503,-1.53162,8.84179e-22
0.0839163,45.9274,-1.25595,2.95307e-22
0.0895906,45.9793,-1.01423,-2.35984e-21
0.0938129,46.0111,-0.826579,-1.329e-21
0.0973169,46.0319,-0.678963,4.97285e-21
0.100225,46.0459,-0.558529,-5.91138e-22
0.102638,46.0556,-0.459782,-7.46911e-21
0.10464,46.0624,-0.378471,2.1145e-21
0.106302,46.0672,-0.311356,5.48739e-21
0.107682,46.0707,-0.25583,-1.66801e-21
0.108826,46.0734,-0.209838,2.01849e-22
0.109776,46.0755,-0.171693,-2.3551e-22
0.110564,46.0773,-0.140038,2.33723e-22
0.111219,46.0789,-0.113753,-3.30774e-22
0.111762,46.0804,-0.0919276,-1.9419e-21
0.112212,46.0819,-0.0738081,0
0.112586,46.0835,-0.0587751,0
0.112897,46.0846,-0.0463038,3.11228e-21
0.113154,46.0812,-0.0359726,-6.17954e-22
0.113368,46.0316,-0.027488,-2.2659e-21
0.113545,45.6007,-0.0207654,1.4639e-21
0.113693,44.0476,-0.0156685,-1.94557e-21
0.113815,41.3928,-0.0119288,-1.94581e-21
0.113916,38.4206,-0.0092116,1.6929e-21
0.114,35.4517,-0.00707742,-1.38153e-22
0.11407,32.4303,-0.0053047,-1.49723e-21
0.114128,29.1875,-0.00384605,-1.32019e-21
0.114177,25.3885,-0.00262241,8.17119e-22
0.114216,20.4374,-0.00155323,9.25975e-22
0.11425,13.9442,-0.000676141,-1.52748e-21
0.114277,6.77829,-0.000155295,3.84235e-22
0.1143,0,0,0
