y,U_0,U_1,U_2
0.0127,0,0,0
0.0127265,7.84898,-0.000151311,0
0.0127586,15.6059,-0.000660549,0
0.0127974,21.6959,-0.00155628,0
0.0128443,25.6285,-0.00279264,0
0.0129011,28.3723,-0.00446913,0
0.0129698,30.5952,-0.00676641,0
0.0130528,32.5747,-0.00984818,0
0.0131533,34.4335,-0.0139118,0
0.0132749,36.2323,-0.0192096,0
0.013422,38.0045,-0.026061,0
0.0136,39.7695,-0.0348684,0
0.0138152,41.5392,-0.0461388,0
0.0140756,43.3196,-0.0605369,0
0.0143906,45.1122,-0.0786646,0
0.0147717,46.9192,-0.102737,0
0.0152327,48.598,-0.130918,0
0.0157904,49.5973,-0.150918,0
0.0164651,49.8318,-0.159537,0
0.0172812,49.8368,-0.166409,0
0.0182685,49.8327,-0.175237,0
0.0194629,49.8267,-0.185558,0
0.0209078,49.8186,-0.197793,0
0.0226557,49.808,-0.212145,0
0.0247702,49.794,-0.228709,0
0.0273281,49.7757,-0.247483,0
0.0304226,49.7518,-0.268117,0
0.034166,49.7202,-0.289661,0
0.0386945,49.6789,-0.310256,0
0.0441728,49.6255,-0.32629,0
0.0508,49.5618,-0.33235,0
0.05715,49.498,-0.325146,0
0.0635,49.438,-0.305495,0
0.06985,49.3835,-0.274955,0
0.0762,49.3361,-0.234975,0
0.0826262,49.2983,-0.188999,0
0.0879721,49.2726,-0.144675,0
0.0924193,49.2568,-0.105521,0
0.0961189,49.2475,-0.0718688,0
0.0991966,49.2427,-0.0434087,0
0.101757,49.2407,-0.0195768,0
0.103887,49.2404,0.000263347,0
0.105659,49.241,0.016741,0
0.107133,49.242,0.0304113,0
0.108359,49.243,0.0417197,0
0.109379,49.2434,0.0511984,0
0.110228,49.2422,0.0588514,0
0.110934,49.1989,0.0654676,0
0.111521,48.7357,0.0658908,0
0.11201,47.4351,0.0538054,0
0.112416,45.6459,0.0375738,0
0.112754,43.8339,0.0257729,0
0.113035,42.0354,0.0175047,0
0.113269,40.2498,0.0114985,0
0.113464,38.4768,0.00726933,0
0.113626,36.7112,0.00434647,0
0.113761,34.9424,0.00237896,0
0.113873,33.151,0.00110001,0
0.113966,31.303,0.00031228,0
0.114043,29.3345,-0.000127758,0
0.114108,27.1153,-0.00032463,0
0.114162,24.3541,-0.000356308,0
0.114206,20.3864,-0.000280986,0
0.114243,14.4232,-0.000151008,0
0.114274,7.15491,-4.2437e-05,0
0.1143,0,0,0
