y,p
0.0127,-136.899
0.0127265,-136.899
0.0127586,-136.899
0.0127974,-136.9
0.0128443,-136.902
0.0129011,-136.904
0.0129698,-136.908
0.0130528,-136.912
0.0131533,-136.915
0.0132749,-136.918
0.013422,-136.92
0.0136,-136.919
0.0138152,-136.913
0.0140756,-136.898
0.0143906,-136.866
0.0147717,-136.81
0.0152327,-136.703
0.0157904,-136.532
0.0164651,-136.317
0.0172812,-136.061
0.0182685,-135.75
0.0194629,-135.372
0.0209078,-134.906
0.0226557,-134.325
0.0247702,-133.591
0.0273281,-132.655
0.0304226,-131.446
0.034166,-129.878
0.0386945,-127.847
0.0441728,-125.25
0.0508,-122.183
0.05715,-119.137
0.0635,-116.298
0.06985,-113.741
0.0762,-111.541
0.0826262,-109.808
0.0879721,-108.66
0.0924193,-107.974
0.0961189,-107.6
0.0991966,-107.432
0.101757,-107.396
0.103887,-107.444
0.105659,-107.542
0.107133,-107.667
0.108359,-107.804
0.109379,-107.944
0.110228,-108.08
0.110934,-108.206
0.111521,-108.323
0.11201,-108.412
0.112416,-108.457
0.112754,-108.477
0.113035,-108.486
0.113269,-108.489
0.113464,-108.488
0.113626,-108.486
0.113761,-108.483
0.113873,-108.481
0.113966,-108.479
0.114043,-108.477
0.114108,-108.476
0.114162,-108.476
0.114206,-108.475
0.114243,-108.475
0.114274,-108.475
0.1143,-108.475
