y,p
0,150.021
1.15903e-05,150.02
2.51959e-05,150.02
4.11938e-05,150.019
6.0036e-05,150.018
8.22644e-05,150.016
0.00010853,150.014
0.000139617,150.013
0.000176466,150.011
0.000220213,150.01
0.000272229,150.008
0.000334164,150
0.000408017,149.983
0.000496201,149.951
0.000601635,149.901
0.000727854,149.827
0.000879141,149.719
0.00106069,149.564
0.00127878,149.342
0.00154107,149.028
0.00185682,148.583
0.0022373,147.958
0.00269619,147.083
0.00325013,145.864
0.00391934,144.336
0.00447964,142.744
0.00498729,141.212
0.00545308,139.714
0.0058867,138.247
0.00629695,136.8
0.00669189,135.354
0.00707907,133.892
0.00746565,132.392
0.00785851,130.828
0.00826444,129.23
0.00863691,127.676
0.00899519,126.18
0.0093413,124.72
0.00967694,123.295
0.0100036,121.902
0.0103226,120.54
0.0106349,119.205
0.0109416,117.897
0.0112433,116.613
0.0115409,115.354
0.0118349,114.116
0.0121258,112.9
0.012414,111.702
0.0127,110.555
0.0129587,109.466
0.0132347,108.356
0.0135296,107.165
0.0138449,105.885
0.0141825,104.51
0.0145445,103.03
0.0149331,101.435
0.0153511,99.7141
0.0158015,97.8566
0.0162878,95.8484
0.016814,93.6746
0.0173849,91.3205
0.018006,88.6749
0.0187638,85.6078
0.0196001,82.1671
0.0205255,78.4109
0.0215519,74.3191
0.0226935,69.8731
0.023967,65.0576
0.0253917,59.8638
0.0269906,54.2916
0.0287908,48.3552
0.0308242,42.0874
0.033129,35.5444
0.0357502,28.8091
0.0387416,21.9904
0.042167,15.2216
0.0461029,8.64439
0.0506405,2.41005
0.0558892,-3.19613
0.061146,-7.83405
0.0665609,-11.6182
0.0721458,-14.7357
0.0779136,-17.3042
0.0839163,-19.3796
0.0895906,-20.8999
0.0938129,-21.8882
0.0973169,-22.5538
0.100225,-23.0243
0.102638,-23.3611
0.10464,-23.6048
0.106302,-23.7821
0.107682,-23.9117
0.108826,-24.0066
0.109776,-24.0762
0.110564,-24.1273
0.111219,-24.1647
0.111762,-24.1921
0.112212,-24.2122
0.112586,-24.227
0.112897,-24.2378
0.113154,-24.2458
0.113368,-24.2516
0.113545,-24.2551
0.113693,-24.2562
0.113815,-24.256
0.113916,-24.2556
0.114,-24.2554
0.11407,-24.2557
0.114128,-24.2562
0.114177,-24.2569
0.114216,-24.2574
0.11425,-24.2579
0.114277,-24.2583
0.1143,-24.2584
