y,U_0,U_1,U_2
0,0,0,0
1.15767e-05,2.97748,-5.11672e-05,-1.24563e-22
2.48888e-05,6.23707,-0.000174458,1.59659e-22
4.02163e-05,9.83898,-0.000419907,-1.01939e-21
5.78882e-05,13.6407,-0.000844536,-1.78064e-22
7.82917e-05,17.4092,-0.00150599,1.12201e-21
0.000101883,20.9406,-0.00247354,-2.83287e-21
0.000129201,24.1552,-0.00384253,1.59298e-21
0.000160882,27.0767,-0.00574601,-1.05018e-20
0.000197681,29.7647,-0.00836354,-5.43024e-21
0.000240493,32.2682,-0.011934,1.29945e-20
0.000290379,34.5974,-0.01677,2.78173e-20
0.000348605,36.6822,-0.0232763,-5.19505e-21
0.000416677,38.3173,-0.0322213,-2.39522e-20
0.000496392,39.2749,-0.0447981,-3.36982e-20
0.000589899,39.6128,-0.061708,-4.75974e-21
0.000699764,39.6418,-0.0827861,1.90721e-20
0.000829066,39.5993,-0.108196,-2.22926e-21
0.000981493,39.5753,-0.138746,7.7432e-20
0.00116147,39.5822,-0.175419,1.01191e-20
0.00137434,39.6054,-0.219105,-5.41089e-20
0.00162648,39.6356,-0.270926,1.78562e-19
0.00192562,39.6676,-0.332117,1.14419e-19
0.00228106,39.7051,-0.404362,-8.21495e-20
0.00270401,39.7648,-0.483195,3.95849e-20
0.00308362,39.8457,-0.559112,5.74247e-20
0.00344943,39.9318,-0.6297,-2.7645e-19
0.0038084,40.0149,-0.697083,1.55577e-19
0.00416715,40.0906,-0.762497,-1.44507e-19
0.00453208,40.1566,-0.826972,-2.77783e-19
0.00490948,40.2109,-0.891488,1.54921e-19
0.00530563,40.2521,-0.956921,-4.21858e-20
0.00572698,40.2783,-1.02402,2.61106e-19
0.00618017,40.2909,-1.09341,-7.76861e-20
0.00667222,40.3026,-1.16214,-7.48305e-20
0.0071306,40.3259,-1.22513,9.43911e-20
0.00758188,40.3645,-1.28081,-9.90352e-20
0.00802708,40.4218,-1.3292,-3.17519e-20
0.00846704,40.5011,-1.37001,6.84801e-20
0.00890252,40.602,-1.4038,1.0187e-19
0.00933414,40.7183,-1.43186,-5.50219e-22
0.00976245,40.8392,-1.45636,-3.31098e-20
0.0101879,40.956,-1.47882,0
0.0106109,41.0638,-1.50007,0
0.0110319,41.1599,-1.52078,-8.55874e-21
0.011451,41.2442,-1.54103,1.60997e-20
0.0118686,41.3172,-1.56093,8.6492e-21
0.0122849,41.3795,-1.58066,-1.60095e-20
0.0127,41.4313,-1.59964,2.19024e-21
0.0130748,41.4746,-1.61769,-1.14412e-20
0.0134728,41.5151,-1.63595,-4.62251e-20
0.0138957,41.5558,-1.65498,-1.89921e-20
0.0143452,41.5969,-1.67484,7.07571e-20
0.0148233,41.6385,-1.69549,2.73326e-20
0.0153318,41.681,-1.71693,2.14501e-21
0.0158732,41.7245,-1.7391,2.08225e-21
0.0164499,41.7695,-1.76195,-2.99112e-20
0.0170647,41.8163,-1.78539,1.76913e-20
0.0177206,41.8655,-1.80925,9.53919e-20
0.018421,41.9179,-1.83341,4.84788e-20
0.0191698,41.9742,-1.85755,-7.04765e-20
0.0199712,42.0375,-1.88253,-5.21291e-20
0.0209503,42.1112,-1.90862,-5.05368e-20
0.0220143,42.1935,-1.93462,-3.90144e-20
0.0231718,42.2823,-1.95951,3.37329e-20
0.0244326,42.3784,-1.9826,3.24651e-20
0.0258078,42.4819,-2.00329,-9.15891e-22
